index,timestamp,source_artifact,target,target_binary,symbol,score,pnl_percent
577,2026-05-24 10:29:59.999000+00:00,historical_outcomes,LOSS,LOSS,VVVUSDT,85.0,-2.0
578,2026-05-24 10:59:59.999000+00:00,historical_outcomes,LOSS,LOSS,UBUSDT,75.0,-2.0
579,2026-05-24 11:29:59.999000+00:00,historical_outcomes,LOSS,LOSS,UBUSDT,75.0,-2.0
580,2026-05-24 12:14:59.999000+00:00,historical_outcomes,TP1 HIT,WIN,GENIUSUSDT,75.0,3.0
581,2026-05-24 12:44:59.999000+00:00,historical_outcomes,LOSS,LOSS,ZECUSDT,75.0,-2.0
582,2026-05-24 12:59:59.999000+00:00,historical_outcomes,LOSS,LOSS,ASTERUSDT,75.0,-2.0
583,2026-05-24 13:44:59.999000+00:00,historical_outcomes,LOSS,LOSS,WLDUSDT,85.0,-2.0
584,2026-05-24 14:14:59.999000+00:00,historical_outcomes,LOSS,LOSS,BZUSDT,85.0,-2.0
585,2026-05-24 14:14:59.999000+00:00,historical_outcomes,LOSS,LOSS,CLUSDT,85.0,-2.0
586,2026-05-24 14:44:59.999000+00:00,historical_outcomes,LOSS,LOSS,NEARUSDT,75.0,-2.0
587,2026-05-24 14:59:59.999000+00:00,historical_outcomes,LOSS,LOSS,NEARUSDT,85.0,-2.0
588,2026-05-24 15:44:59.999000+00:00,historical_outcomes,TP1 HIT,WIN,EDENUSDT,85.0,3.0
589,2026-05-24 15:59:59.999000+00:00,historical_outcomes,WIN,WIN,NILUSDT,85.0,5.0
590,2026-05-24 15:59:59.999000+00:00,historical_outcomes,LOSS,LOSS,EDENUSDT,75.0,-2.0
591,2026-05-24 16:14:59.999000+00:00,historical_outcomes,TP1 HIT,WIN,NILUSDT,85.0,3.0
592,2026-05-24 17:14:59.999000+00:00,historical_outcomes,LOSS,LOSS,ZECUSDT,85.0,-2.0
593,2026-05-24 17:29:59.999000+00:00,historical_outcomes,TP1 HIT,WIN,NILUSDT,85.0,3.0
594,2026-05-24 17:44:59.999000+00:00,historical_outcomes,LOSS,LOSS,NILUSDT,85.0,-2.0
595,2026-05-24 21:14:59.999000+00:00,historical_outcomes,LOSS,LOSS,NEARUSDT,75.0,-2.0
596,2026-05-24 21:59:59.999000+00:00,historical_outcomes,TP1 HIT,WIN,WLDUSDT,75.0,3.0
597,2026-05-26 11:05:12.445670+00:00,internal_paper_trades,WIN,WIN,INJUSDT,100.0,6.92078
598,2026-05-26 11:05:30.277854+00:00,internal_paper_trades,WIN,WIN,INJUSDT,100.0,6.864466
599,2026-05-26 11:05:48.735914+00:00,internal_paper_trades,WIN,WIN,INJUSDT,100.0,6.92078
600,2026-05-26 14:20:13.099917+00:00,internal_paper_trades,WIN,WIN,INJUSDT,88.41,12.189505
601,2026-05-26 14:20:33.520084+00:00,internal_paper_trades,WIN,WIN,INJUSDT,88.45,12.207963
602,2026-05-26 14:20:52.720734+00:00,internal_paper_trades,WIN,WIN,INJUSDT,88.61,12.042057
603,2026-05-29 14:55:14.241747+00:00,internal_paper_trades,WIN,WIN,SOXLUSDT,90.69,8.194469
604,2026-05-29 14:55:36.925459+00:00,internal_paper_trades,WIN,WIN,SOXLUSDT,91.1,7.593654
605,2026-05-29 14:55:58.448514+00:00,internal_paper_trades,WIN,WIN,SOXLUSDT,91.2,7.328761
606,2026-05-29 16:35:43.661899+00:00,internal_paper_trades,LOSS,LOSS,HEIUSDT,79.04,-14.906924
607,2026-05-29 16:37:03.200715+00:00,internal_paper_trades,LOSS,LOSS,HEIUSDT,79.2,-15.324352
608,2026-05-29 16:37:53.700976+00:00,internal_paper_trades,LOSS,LOSS,HEIUSDT,79.49,-15.025716
609,2026-05-29 16:55:12.196345+00:00,internal_paper_trades,LOSS,LOSS,HEIUSDT,78.72,-19.108904
610,2026-05-29 16:55:29.454301+00:00,internal_paper_trades,LOSS,LOSS,HEIUSDT,78.72,-18.93881
611,2026-05-30 10:50:17.335174+00:00,internal_paper_trades,LOSS,LOSS,ALLOUSDT,100.0,-23.141875
612,2026-05-30 10:51:31.804360+00:00,internal_paper_trades,LOSS,LOSS,ALLOUSDT,89.33,-22.929327
613,2026-05-30 11:10:18.907347+00:00,internal_paper_trades,LOSS,LOSS,ALLOUSDT,76.53,-21.336725
614,2026-05-30 11:10:39.578733+00:00,internal_paper_trades,WIN,WIN,WLDUSDT,100.0,15.292553
615,2026-05-30 11:11:41.226918+00:00,internal_paper_trades,LOSS,LOSS,ALLOUSDT,88.42,-21.856826
616,2026-05-30 11:12:00.463635+00:00,internal_paper_trades,WIN,WIN,WLDUSDT,100.0,15.6
617,2026-05-30 11:12:52.568639+00:00,internal_paper_trades,LOSS,LOSS,ALLOUSDT,87.89,-22.332703
